ESS,L,L err,eps,eps err
0.2840909090909091,2.1327156904594147,0.0348445879844778,1.6555377347514975,0.044233820097958856
0.1953125,2.274264869794474,0.05803712478474306,1.6436127335225836,0.0452400386016992
0.08403361344537816,2.4976728875334477,0.2711051033371007,1.6348468330949089,0.04736976695412988
0.0846740050804403,2.8869711217130716,0.5010135879416832,1.6377721945087604,0.05328672263370596
0.08952551477170993,3.277997649741073,0.4910089997276998,1.6403302334854724,0.05461380565620004
0.14388489208633093,3.5543921779115375,0.3423315303092779,1.6505985936787957,0.05423135177431489
0.17699115044247787,3.599493686659648,0.17739158078425699,1.637297236553118,0.05582195348712468
0.2053388090349076,3.5035558482125713,0.10194679119136116,1.6297813143950628,0.057688991154865546
0.22075055187637968,3.4089110485340637,0.06299923404687383,1.622687239892587,0.05524205971045105
0.2375296912114014,3.3235627795619496,0.040990414862815135,1.6058422530670755,0.05158262564619339
0.24509803921568626,3.243311085653777,0.03286164407785609,1.5903536451102904,0.05655127018196352
0.25252525252525254,3.172486224991226,0.029399135727100234,1.5753584638243288,0.05264622131480533
0.26109660574412535,3.110620383594171,0.024380661179596558,1.5615562980555353,0.04998191670627654
0.26737967914438504,3.055506139507575,0.02201334069553531,1.547555532954787,0.04966813118593969
0.273224043715847,3.0031732987714053,0.020235438036616708,1.5340782261142911,0.048135609605572977
0.2770083102493075,2.9556309680511657,0.019038188146174806,1.51925188985741,0.045416669097829133
