ESS,L,L err,eps,eps err,Var[E]/d,Var[E]/d err
0.0,19.2,0.0,9.6,0.0,0.03034501252995934,0.0008867519505735433
0.25125628140703515,19.2,0.0,9.6,0.0,0.031143120030797646,0.0006361069802014893
0.10706638115631692,19.2,0.0,9.6,0.0,0.03128997046634378,0.0008404373922137099
0.0,19.2,0.0,9.6,0.0,0.029927471143904857,0.0009435842712873938
0.1360544217687075,19.2,0.0,9.6,0.0,0.02944216317682795,0.0012445081890846822
0.2564102564102564,19.2,0.0,9.6,0.0,0.028544883704927894,0.0004801118126055216
0.2638522427440633,19.2,0.0,9.6,0.0,0.029150523972681055,0.0004254440877856252
0.2403846153846154,19.2,0.0,9.6,0.0,0.028727005845306196,0.00031834660881150436
0.24509803921568626,19.2,0.0,9.6,0.0,0.029610961125814482,0.0008499616218953219
0.25773195876288657,19.2,0.0,9.6,0.0,0.030551894234385316,0.00028014327668084556
0.2824858757062147,19.2,0.0,9.6,0.0,0.031213488038894448,0.0003486786412118878
0.2518891687657431,19.2,0.0,9.6,0.0,0.03217311556718339,0.00018443095591435824
0.30303030303030304,19.2,0.0,9.6,0.0,0.033019696874247564,0.0006205279671784361
0.34843205574912894,19.2,0.0,9.6,0.0,0.0338484636860611,0.0003304947284755238
0.352112676056338,19.2,0.0,9.6,0.0,0.03496151454000775,0.0006189148095635231
0.3401360544217687,19.2,0.0,9.6,0.0,0.03562907850683873,0.00037768056983057566
