model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,worst,ESS
IllConditionedGaussian4642,100,mhmchmc:grid_edgeTrue,-16.144901275634766,-0.9851454496383667,mclachlan,gridsearch,0.9967097640037537,False,0.0,0.0,0.7045385241508484,0.683742344379425,0.7042403221130371,200,True,0.0
IllConditionedGaussian4642,100,mclmc,0.8182218670845032,0.41258952021598816,mclachlan,standard,1.0,False,0.0,0.0,inf,inf,inf,200,False,0.0
IllConditionedGaussian4642,100,mhmclmc:0.9,11.048173904418945,1.3483362197875977,mclachlan,standard,0.9863343238830566,False,0.0,0.0,0.5583788752555847,0.13357658684253693,0.4363342821598053,200,False,0.0
IllConditionedGaussian4642,100,mhmclmc:0.9,16.48757553100586,1.2255029678344727,mclachlan,standard,0.9898425340652466,False,0.0,0.0,0.6352598071098328,0.16208778321743011,0.5133025050163269,200,True,0.0
IllConditionedGaussian4642,100,mhmclmc:st3:0.9,6.060150623321533,1.2639518976211548,mclachlan,standard,0.9933533668518066,False,0.0,0.0,0.456132709980011,0.35018190741539,0.44788503646850586,200,False,0.0
IllConditionedGaussian4642,100,nuts,0.0,0.0,mclachlan,standard,0.8032273650169373,False,0.0,0.0,inf,inf,inf,200,,0.0
IllConditionedGaussian4642,100,mclmc,0.5196501016616821,0.3036659061908722,mclachlan,standard,1.0,True,0.0,0.0,inf,inf,inf,200,False,0.0
IllConditionedGaussian4642,100,mhmclmc:0.9,10.0,8.175458908081055,mclachlan,standard,0.9736421704292297,True,0.0,0.0,0.23160897195339203,0.0742339938879013,0.18613548576831818,200,False,0.0
IllConditionedGaussian4642,100,mhmclmc:0.9,10.0,8.258659362792969,mclachlan,standard,0.9718841910362244,True,0.0,0.0,0.22892335057258606,0.07436446100473404,0.18579386174678802,200,True,0.0
IllConditionedGaussian4642,100,mhmclmc:st3:0.9,8.644308090209961,7.346584320068359,mclachlan,standard,0.9710389375686646,True,0.0,0.0,0.17238008975982666,0.13273382186889648,0.1699901521205902,200,False,0.0
IllConditionedGaussian4642,100,nuts,0.0,0.0,mclachlan,standard,0.8458609580993652,True,0.0,0.0,inf,inf,inf,200,,0.0
